"Reference","Qty","Value","MFR.Part","JLCPCB Part"
"C1,C3","2","0.01uF","MPP103J2G1305085LC","C109484"
"C2","1","0.1uF","CT4-0805B104K500F3","C84772"
"C4,C5","2","33pF","CC4-0805N330J500F3","C94712"
"C6,C7","2","0.22uF","CBB21-224J-400V","C914540"
"D1","1","2W10","2W10G-E4/51","C266671"
"J1","1","6P6C - RJ11","520186646","C588140"
"J2","1","2.54mm Header","HX PZ2.54-1x5P ZZ","C32713271"
"R1,R2","2","200K","CR1/4W-200K±5%-ST52","C2894668"
"R3","1","22K","CR1/4W-22K±5%-ST52","C2894673"
"R4","1","10M","CR1/4W-10M±5%-ST52","C2894650"
"R5","1","470K","CF1/4W-470KΩ±5% T","C120119"
"R6","1","18K","CF1/4W-18KΩ±5% T52","C120085"
"R7","1","15K","CR1/4W-15K±5%-OT26 ","C2894540"
"U1","1","HT9032D","HT9032D(LX) ","C22397227"
"Y1","1","3.58MHz","X49SD358MSB2SC-1","C20617999"
